Zeit,Wert
19.06.2024 20:00,90
19.06.2024 21:00,79
19.06.2024 22:00,77
19.06.2024 23:00,69
20.06.2024 0:00,65
20.06.2024 1:00,58
20.06.2024 10:00,148
20.06.2024 11:00,126
20.06.2024 12:00,152
20.06.2024 13:00,169
20.06.2024 14:00,197
20.06.2024 15:00,233
20.06.2024 16:00,222
20.06.2024 17:00,233
20.06.2024 18:00,261
20.06.2024 19:00,271
20.06.2024 2:00,54
20.06.2024 20:00,282
20.06.2024 21:00,317
20.06.2024 22:00,308
20.06.2024 23:00,272
20.06.2024 3:00,53
20.06.2024 4:00,52
20.06.2024 5:00,52
20.06.2024 6:00,69
20.06.2024 7:00,73
20.06.2024 8:00,69
20.06.2024 9:00,70
21.06.2024 0:00,254
21.06.2024 1:00,238
21.06.2024 10:00,226
21.06.2024 11:00,243
21.06.2024 12:00,292
21.06.2024 13:00,332
21.06.2024 14:00,398
21.06.2024 15:00,369
21.06.2024 16:00,307
21.06.2024 17:00,117
21.06.2024 18:00,475
21.06.2024 19:00,473
21.06.2024 2:00,226
21.06.2024 20:00,476
21.06.2024 21:00,453
21.06.2024 22:00,496
21.06.2024 23:00,443
21.06.2024 3:00,225
21.06.2024 4:00,211
21.06.2024 5:00,209
21.06.2024 6:00,207
21.06.2024 7:00,214
21.06.2024 8:00,213
21.06.2024 9:00,225
22.06.2024 0:00,393
22.06.2024 1:00,316
22.06.2024 10:00,191
22.06.2024 11:00,218
22.06.2024 12:00,257
22.06.2024 13:00,261
22.06.2024 14:00,296
22.06.2024 15:00,350
22.06.2024 16:00,403
22.06.2024 17:00,404
22.06.2024 18:00,414
22.06.2024 19:00,454
22.06.2024 2:00,235
22.06.2024 20:00,467
22.06.2024 21:00,453
22.06.2024 22:00,458
22.06.2024 23:00,403
22.06.2024 3:00,221
22.06.2024 4:00,216
22.06.2024 5:00,214
22.06.2024 6:00,202
22.06.2024 7:00,199
22.06.2024 8:00,196
22.06.2024 9:00,181
23.06.2024 0:00,380
23.06.2024 1:00,307
23.06.2024 10:00,203
23.06.2024 11:00,240
23.06.2024 12:00,300
23.06.2024 13:00,304
23.06.2024 14:00,367
23.06.2024 15:00,420
23.06.2024 16:00,396
23.06.2024 17:00,416
23.06.2024 18:00,422
23.06.2024 19:00,466
23.06.2024 2:00,231
23.06.2024 20:00,472
23.06.2024 21:00,426
23.06.2024 22:00,451
23.06.2024 23:00,356
23.06.2024 3:00,215
23.06.2024 4:00,205
23.06.2024 5:00,200
23.06.2024 6:00,191
23.06.2024 7:00,188
23.06.2024 8:00,194
23.06.2024 9:00,192
24.06.2024 0:00,290
24.06.2024 1:00,211
24.06.2024 10:00,40
24.06.2024 11:00,14
24.06.2024 12:00,4
24.06.2024 13:00,4
24.06.2024 14:00,6
24.06.2024 15:00,27
24.06.2024 16:00,29
24.06.2024 17:00,49
24.06.2024 18:00,59
24.06.2024 19:00,70
24.06.2024 2:00,163
24.06.2024 20:00,76
24.06.2024 21:00,75
24.06.2024 22:00,63
24.06.2024 23:00,63
24.06.2024 3:00,144
24.06.2024 4:00,138
24.06.2024 5:00,135
24.06.2024 6:00,119
24.06.2024 7:00,107
24.06.2024 8:00,87
24.06.2024 9:00,58
25.06.2024 0:00,60
25.06.2024 1:00,58
25.06.2024 10:00,34
25.06.2024 11:00,20
25.06.2024 12:00,18
25.06.2024 13:00,17
25.06.2024 14:00,7
25.06.2024 15:00,9
25.06.2024 16:00,19
25.06.2024 17:00,32
25.06.2024 18:00,46
25.06.2024 19:00,56
25.06.2024 2:00,58
25.06.2024 20:00,68
25.06.2024 21:00,65
25.06.2024 22:00,64
25.06.2024 23:00,58
25.06.2024 3:00,59
25.06.2024 4:00,58
25.06.2024 5:00,55
25.06.2024 6:00,48
25.06.2024 7:00,46
25.06.2024 8:00,27
25.06.2024 9:00,14
26.06.2024 0:00,56
26.06.2024 1:00,55
26.06.2024 10:00,14
26.06.2024 11:00,11
26.06.2024 12:00,18
26.06.2024 13:00,28
26.06.2024 14:00,28
26.06.2024 15:00,23
26.06.2024 16:00,39
26.06.2024 17:00,46
26.06.2024 18:00,55
26.06.2024 19:00,73
26.06.2024 2:00,55
26.06.2024 20:00,73
26.06.2024 21:00,67
26.06.2024 22:00,67
26.06.2024 23:00,67
26.06.2024 3:00,54
26.06.2024 4:00,54
26.06.2024 5:00,54
26.06.2024 6:00,50
26.06.2024 7:00,39
26.06.2024 8:00,26
26.06.2024 9:00,21
27.06.2024 0:00,65
27.06.2024 1:00,64
27.06.2024 10:00,33
27.06.2024 11:00,20
27.06.2024 12:00,31
27.06.2024 13:00,46
27.06.2024 14:00,49
27.06.2024 15:00,30
27.06.2024 16:00,24
27.06.2024 17:00,42
27.06.2024 18:00,63
27.06.2024 19:00,81
27.06.2024 2:00,63
27.06.2024 20:00,78
27.06.2024 21:00,69
27.06.2024 22:00,72
27.06.2024 23:00,60
27.06.2024 3:00,61
27.06.2024 4:00,62
27.06.2024 5:00,59
27.06.2024 6:00,52
27.06.2024 7:00,48
27.06.2024 8:00,27
27.06.2024 9:00,17
28.06.2024 0:00,54
28.06.2024 1:00,52
28.06.2024 10:00,41
28.06.2024 11:00,22
28.06.2024 12:00,35
28.06.2024 13:00,11
28.06.2024 14:00,13
28.06.2024 15:00,16
28.06.2024 16:00,12
28.06.2024 17:00,36
28.06.2024 18:00,42
28.06.2024 19:00,57
28.06.2024 2:00,60
28.06.2024 20:00,77
28.06.2024 21:00,65
28.06.2024 22:00,66
28.06.2024 23:00,60
28.06.2024 3:00,83
28.06.2024 4:00,83
28.06.2024 5:00,82
28.06.2024 6:00,65
28.06.2024 7:00,53
28.06.2024 8:00,44
28.06.2024 9:00,31
29.06.2024 0:00,60
29.06.2024 1:00,57
29.06.2024 10:00,19
29.06.2024 11:00,11
29.06.2024 12:00,3
29.06.2024 13:00,38
29.06.2024 14:00,24
29.06.2024 15:00,22
29.06.2024 16:00,48
29.06.2024 17:00,32
29.06.2024 18:00,42
29.06.2024 19:00,48
29.06.2024 2:00,56
29.06.2024 20:00,62
29.06.2024 21:00,73
29.06.2024 22:00,70
29.06.2024 23:00,71
29.06.2024 3:00,56
29.06.2024 4:00,56
29.06.2024 5:00,54
29.06.2024 6:00,52
29.06.2024 7:00,49
29.06.2024 8:00,24
29.06.2024 9:00,19
30.06.2024 0:00,65
30.06.2024 1:00,69
30.06.2024 10:00,59
30.06.2024 11:00,63
30.06.2024 12:00,37
30.06.2024 13:00,62
30.06.2024 14:00,72
30.06.2024 15:00,64
30.06.2024 16:00,70
30.06.2024 17:00,78
30.06.2024 18:00,66
30.06.2024 19:00,82
30.06.2024 2:00,69
30.06.2024 20:00,80
30.06.2024 21:00,73
30.06.2024 22:00,66
30.06.2024 23:00,64
30.06.2024 3:00,69
30.06.2024 4:00,65
30.06.2024 5:00,71
30.06.2024 6:00,78
30.06.2024 7:00,87
30.06.2024 8:00,78
30.06.2024 9:00,73
